Player,Base Price,TYPE,Coste,Age,inns,Runs,Hs,Avg,Sr,100,50,4,6,St,Nt,R_avg,R_sr,R_runs,R_mat
KL Rahul,0,WICKETKEEPER,17,29,159,5742,132,43.5,137.96,4,49,498,232,8,i,62.6,138.8,626,13
Rishabh Pant,-1,WICKETKEEPER,16,24,136,3710,128,33.12,145.83,2,22,329,172,23,i,34.91,128.52,419,16
Ishan Kishan,2,WICKETKEEPER,15.25,23,109,2902,113,28.73,132.2,2,16,278,131,9,i,26.77,133.88,241,10
Sanju Samson,-1,WICKETKEEPER,14,27,191,4834,119,28.43,130.68,3,30,380,206,19,i,14.33,136.72,484,14
MS Dhoni,-1,WICKETKEEPER,12,40,306,6935,84,38.31,134.37,0,27,479,305,84,i,16.28,106.54,114,11
Nicholas Pooran,1.5,WICKETKEEPER,10.75,26,198,4294,100,25.55,142.37,1,23,278,295,19,o,35.3,169.71,353,14
Jos Buttler,-1,WICKETKEEPER,10,31,276,7335,124,32.45,144.02,2,50,639,309,34,o,36.28,153.01,254,7
Ambati Rayudu,2,WICKETKEEPER,6.75,36,241,5489,100,27.03,124.58,1,29,453,199,3,i,28.55,151.17,257,13
Jonny Bairstow,1.5,WICKETKEEPER,6.75,32,153,3904,114,30.74,137.56,3,22,329,170,15,o,31.36,126.83,345,11
Quinton De Kock,2,WICKETKEEPER,6.75,29,239,7324,126,33.44,137.69,4,45,768,275,44,o,29.7,116.01,297,11
Dinesh Karthik,2,WICKETKEEPER,5.5,36,290,6283,97,27.19,133.28,0,30,616,193,62,i,22.3,131.17,223,15
Anuj Rawat,0.2,WICKETKEEPER,3.4,22,22,501,88,29.47,121.01,0,2,36,29,6,i,29.47,121.01,501,22
Matthew Wade,2,WICKETKEEPER,2.4,34,150,3402,130,27,136.62,1,21,272,121,13,o,25,145.83,175,7
K.S. Bharat,0.2,WICKETKEEPER,2,28,56,1050,78,20.58,108.8,0,5,87,39,11,i,38.2,122.43,191,8
Sam Billings,2,WICKETKEEPER,2,30,201,4152,95,24.28,131.64,0,24,351,128,21,o,40.71,154.05,285,9
Wriddhiman Saha,1,WICKETKEEPER,1.9,37,181,3650,129,24.66,130.21,2,18,332,123,33,i,14.55,93.57,131,9
Glenn Phillips,1.5,WICKETKEEPER,1.5,25,30,645,108,25.8,140.21,1,2,43,2,10,o,26.75,143.3,321,16
Sheldon Jackson,0.3,WICKETKEEPER,0.6,35,62,1511,106,29.05,120.58,1,10,148,55,6,i,0,0,0,0
Prabhsimran Singh,0.2,WICKETKEEPER,0.6,21,30,822,119,34.25,136.77,1,5,77,40,3,i,0,0,0,0
Tim Seifert,0.5,WICKETKEEPER,0.5,27,128,2759,107,25.08,127.49,1,13,245,120,20,o,0,0,0,0
Vishnu Vinod,0.2,WICKETKEEPER,0.5,28,38,1051,71,3390,139.2,0,7,84,57,5,i,0,0,0,0
N. Jagadeesan,0.2,WICKETKEEPER,0.2,26,38,906,78,32.35,117.66,0,5,79,30,3,i,0,0,0,0
Baba Indrajith,0.2,WICKETKEEPER,0.2,27,18,319,46,19.93,104.59,0,0,20,5,0,i,0,0,0,0
Jitesh Sharma,0.2,WICKETKEEPER,0.2,28,51,1329,106,28.27,141.83,1,8,143,49,8,i,0,0,0,0
Aryan Juyal,0.2,WICKETKEEPER,0.2,20,5,67,23,16.75,124.07,0,0,6,1,0,i,0,0,0,0
Luvnith Sisodia,0.2,WICKETKEEPER,0.2,22,4,45,38,11.25,140.62,0,0,5,2,4,i,0,0,0,0
